Sales,Dev,Pub,IP,Date,Gap,Player,Price,IMDB,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,UserScore,CriticScore,Ratings,Media,SteamCCU,SteamComments,SteamFollowers,VGTime,Douban
2750000,7,10,10,43273,373,1,60,161,102,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85030,56535,7,75,445,86,0,0,0,814,607
2700000,5,7,8,42829,750,0,20,1405,1655,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,114249,45615,8,93,3865,98,0,0,0,11229,4221
2606575,8,9,9,41935,1347,2,10,96,970,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,13363,3242,5,81,1051,78,1372,18345,148784,8632,415
2602292,5,5,3,41409,1347,0,15,88,2932,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,13075,6189,7,77,386,28,278,13207,34288,6035,22
2600000,10,10,8,42822,950,2,19,80,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48998,17953,6,85,152,45,0,0,0,3438,438
2560000,6,10,8,43175,380,0,60,73,65,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87747,24135,7,73,410,83,0,0,0,841,854
2500000,8,8,7,43532,114,1,60,776,1477,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,104305,140428,8,89,2966,127,88735,30314,53146,3762,2363
2500000,8,9,6,42684,7,0,60,1656,3103,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,103009,180946,7,88,2083,127,3690,29304,217355,1233,1030
2500000,5,6,2,42464,1089,0,15,113,1771,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,41840,139787,8,87,499,89,13043,38532,124823,237,379
2500000,7,9,8,42640,139,2,60,457,1050,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,177766,43679,8,91,1377,103,0,0,0,1259,558
