0,1,2,3,4,5,6,7
190000,53,12975,35578,83,50,7,43
189513,778,9285,29979,126,62,22,45
189415,525,395,311,47,41,6,45
189408,256,572,7413,17,21,12,45
186812,1007,40835,387,142,61,34,44
186765,589,4852,964,46,61,4,47
184404,839,303,437,52,61,4,44
183809,37,1353,5774,40,11,11,42
183744,764,42532,107,510,7,29,26
183147,567,2601,26021,84,190,317,43
181671,701,4173,4568,37,7,32,37
181210,1222,1745,54,171,60,12,66
180758,361,65345,2046,55,60,33,181
180587,51,9590,10836,75,60,16,5
180452,699,39,0,9,60,33,35
180000,25,1436,275,36,152,6,11
179750,454,1683,39458,150,60,25,24
179268,284,22449,138,109,60,37,70
176242,301,109750,18883,80,147,111,26
174216,344,7888,3817,53,59,27,42
171616,477,7001,2426,80,71,50,41
171576,113,4037,20927,28,126,4,42
171206,479,1168,5654,76,58,14,40
170731,769,85155,2133,545,313,259,559
170000,363,14493,305,26,7,6,42
170000,15,18760,9706,40,12,3,42
169249,309,1279,4736,36,7,31,41
168191,153,170441,75,66,98,3,106
167728,1091,26134,131032,364,247,199,447
167656,780,745,7608,38,6,127,40
166666,562,617,5635,15,35,6,41
163931,571,437,2806,28,56,9,63
163754,368,100,117485,83,56,9,205
161852,135,933,17014,49,56,5,40
161824,473,2954,16820,18,56,33,65
160193,1072,1649,1208,68,3,3,56
160000,289,39546,47635,478,46,29,72
160000,43,3637,19432,29,342,1545,40
160000,95,2652,3307,98,420,71,40
160000,20,10628,4759,20,373,55,40
158389,798,2470,547,129,4,6,5
157469,524,8346,30997,96,135,3,58
156272,437,2645,3292,14,54,38,121
155024,744,961,381,63,174,82,504
154901,486,1088,16827,127,169,3,590
154523,89,986,1122,91,33,33,8
152554,732,3863,13706,13,53,56,14
151645,28,21518,4517,21,133,3,35
151459,356,245,5051,30,336,3,38
150000,39,1936,8317,124,893,66,38
150000,151,44824,40990,46,44,103,38
150000,14,2234,1421,44,123,5,109
150000,15,7825,1112,24,34,19,38
149712,1150,435,12860,118,53,26,109
146543,303,437,5723,28,283,320,35
146235,508,48878,57120,290,161,98,176
144484,295,3169,2273,37,51,123,37
140000,44,6311,10957,44,524,104,36
