Date,Gap,PriceMax,PriceMin,Chinese,French,Japanese,Korean,Russian,MCUserScore,MCCriticScore,MCRatings,MCMedia,SteamCCU,SteamComments,SteamFollowers
42865,417,10,5,1,0,0,1,0,8.2,84,84,9,224,2877,13016
42488,794,15,1,0,1,1,0,0,6.6,71,19,23,12,574,6360
42096,1186,14.99,4,1,0,0,0,0,7,59,24,5,24,666,18513
41927,1355,20,5,1,1,0,0,0,7.7,74,88,38,356,689,6530
41963,1319,7.99,2,1,0,0,0,0,6.7,73,14,4,7,339,1122
41592,1319,30,20.99,1,1,0,0,0,7.4,68,51,12,26,460,11031
42320,962,19.99,19.99,1,0,1,0,0,8,86,22,6,16,862,6522
41369,962,15,14.99,1,1,0,0,1,6.4,52,55,13,35,278,1461
42622,660,9.99,2,1,0,0,0,0,6.6,70,14,6,30,626,13708
42145,1137,15,14.99,1,0,0,0,0,7.8,82,65,26,29,930,4688
41473,1137,10,2,1,0,0,0,1,6.3,59,29,14,6,250,613
41675,1607,6,3,1,0,1,0,0,6.4,73,10,7,4,164,1479
42088,1194,15,14.99,1,0,0,0,0,4.8,71,20,9,4,424,4434
41905,1377,20,5,1,1,0,0,1,7.4,68,54,17,7,315,15441
41842,1440,13,12.99,1,0,0,0,0,6.1,69,17,13,39,593,11956
42500,782,29.99,29.99,1,1,0,0,1,4.1,69,12,5,78,443,6335
41282,782,10,4,1,0,0,0,1,4.5,39,34,6,5,293,493
42478,804,20,19.99,1,1,0,0,1,8.5,75,11,9,35,601,11561
42458,824,20,8,1,1,0,0,1,7.5,67,14,14,49,430,16959
41487,453,5,4.99,1,0,0,0,1,7.6,61,24,4,13,295,892
42306,976,30,19.49,1,0,0,0,0,8.6,80,94,7,129,1278,24081
41480,626,15,14.99,1,1,0,0,1,1.2,20,93,6,5,38,510
41963,1319,20,19.99,1,1,0,0,0,6.4,69,16,11,5,296,2639
42122,1160,20,19.99,1,0,0,0,0,7.9,76,29,9,27,533,10817
42062,1220,8.99,1.79,1,1,0,0,1,7.7,82,63,6,28,777,5334
42209,1073,13,3,1,1,0,0,1,7.5,65,64,9,20,1411,25923
41829,1453,4.99,0.49,1,0,0,0,0,8.2,83,17,4,10,250,376
41556,1453,5,4.99,1,1,0,0,1,5,39,40,21,3,411,422
41851,1431,19.99,4,1,1,0,0,1,5.7,58,21,5,13,455,1432
42467,815,9.99,0.99,1,1,0,0,1,7.2,80,11,4,19,380,5282
42782,500,25,24.99,1,1,0,0,1,6.3,52,24,13,77,726,10008
42054,1228,25,14.99,1,0,0,0,0,6.5,79,29,11,4,261,6569
41983,1299,15,4,1,0,0,0,0,6,65,11,14,10,270,6606
41298,1299,5,4.99,1,0,0,0,0,6.5,53,36,15,5,322,1305
41774,1508,9.99,0.99,1,0,0,0,0,7.8,72,9,5,14,608,3543
42702,580,24.99,14.99,1,1,0,0,1,8.6,83,24,5,394,1430,21535
41326,580,6,1,1,0,0,0,0,6.8,70,18,14,75,366,560
42313,969,20,5,1,0,0,0,0,7.4,69,21,13,17,386,10843
