,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,announcement,announcement_lower,announcement_upper,holidays,holidays_lower,holidays_upper,release,release_lower,release_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
108,2023-01-01,30198.35124602379,46831.2,35638.60478514764,35677.80879502385,30198.35124602379,30198.35124602379,5460.757867240793,5460.757867240793,5460.757867240793,0.0,0.0,0.0,5457.278762,5457.278762,5457.278762,5457.278762,5457.278762,5457.278762,3.479105240793101,3.479105240793101,3.479105240793101,0.0,0.0,0.0,35659.10911326458
109,2023-01-02,30739.359192069387,46831.2,35792.239928789335,35830.45747068314,30739.359192069387,30739.359192069387,5072.800184417871,5072.800184417871,5072.800184417871,0.0,0.0,0.0,5064.052785999999,5064.052785999999,5064.052785999999,5064.052785999999,5064.052785999999,5064.052785999999,8.747398417871741,8.747398417871741,8.747398417871741,0.0,0.0,0.0,35812.15937648726
110,2023-01-03,31280.367138114987,46831.2,35939.56725850749,35978.868450891605,31280.367138114987,31280.367138114987,4678.775926232233,4678.775926232233,4678.775926232233,0.0,0.0,0.0,4674.14402,4674.14402,4674.14402,4674.14402,4674.14402,4674.14402,4.6319062322332245,4.6319062322332245,4.6319062322332245,0.0,0.0,0.0,35959.14306434722
111,2023-01-04,31821.375084160583,46831.2,36089.39648127305,36127.43261387376,31821.375084160583,31821.375084160583,4287.772044443152,4287.772044443152,4287.772044443152,0.0,0.0,0.0,4295.786950000001,4295.786950000001,4295.786950000001,4295.786950000001,4295.786950000001,4295.786950000001,-8.014905556848946,-8.014905556848946,-8.014905556848946,0.0,0.0,0.0,36109.147128603734
112,2023-01-05,32362.38303020618,46831.2,36233.63287010658,36272.714201842806,32362.38303020618,32362.38303020618,3889.7867651343868,3889.7867651343868,3889.7867651343868,0.0,0.0,0.0,3898.2525035999997,3898.2525035999997,3898.2525035999997,3898.2525035999997,3898.2525035999997,3898.2525035999997,-8.46573846561315,-8.46573846561315,-8.46573846561315,0.0,0.0,0.0,36252.16979534057
113,2023-01-06,32903.39097625178,46831.2,36369.965398002554,36408.1321427854,32903.39097625178,32903.39097625178,3485.7869880536255,3485.7869880536255,3485.7869880536255,0.0,0.0,0.0,3491.5586550000003,3491.5586550000003,3491.5586550000003,3491.5586550000003,3491.5586550000003,3491.5586550000003,-5.7716669463746975,-5.7716669463746975,-5.7716669463746975,0.0,0.0,0.0,36389.1779643054
114,2023-01-07,33292.10654610257,46831.2,36526.84765625891,36565.658357589506,33292.10654610257,33292.10654610257,3254.0703424779144,3254.0703424779144,3254.0703424779144,0.0,0.0,0.0,3248.6764414,3248.6764414,3248.6764414,3248.6764414,3248.6764414,3248.6764414,5.393901077914218,5.393901077914218,5.393901077914218,0.0,0.0,0.0,36546.176888580485
115,2023-01-08,33680.82211595336,46831.2,36681.99616265483,36721.86724322683,33680.82211595336,33680.82211595336,3021.328464440785,3021.328464440785,3021.328464440785,0.0,0.0,0.0,3017.8493592,3017.8493592,3017.8493592,3017.8493592,3017.8493592,3017.8493592,3.4791052407849272,3.4791052407849272,3.4791052407849272,0.0,0.0,0.0,36702.15058039414
116,2023-01-09,34069.53768580416,46831.2,36837.947600068466,36877.710356802476,34069.53768580416,34069.53768580416,2788.6162096178687,2788.6162096178687,2788.6162096178687,0.0,0.0,0.0,2779.8688112,2779.8688112,2779.8688112,2779.8688112,2779.8688112,2779.8688112,8.747398417868684,8.747398417868684,8.747398417868684,0.0,0.0,0.0,36858.15389542203
117,2023-01-10,34458.25325565495,46831.2,36979.18581609066,37018.21231300984,34458.25325565495,34458.25325565495,2539.897457232249,2539.897457232249,2539.897457232249,0.0,0.0,0.0,2535.265551,2535.265551,2535.265551,2535.265551,2535.265551,2535.265551,4.6319062322492295,4.6319062322492295,4.6319062322492295,0.0,0.0,0.0,36998.150712887196
